angry AJ0-347 
tories NN2-603 
round AVP-1523 
on PRP-59482 
lawson NP0-359 
by PRP-55370 
anthony NP0-413 
bevins NP0-21 
and CJC-240760 
colin NP0-308 
brown NP0-558 
nigel NP0-767 
conceded VVD-104 
last ORD-9372 
night NN1-3542 
that CJT-71745 
the AT0-590015 
hike NN1-32 
in PRP-183085 
interest NN1-2875 
rates NN2-1452 
was VBD-82819 
extremely AV0-638 
awkward AJ0-173 
uncomfortable AJ0-150 
embarrassing AJ0-127 
so AV0-16603 
close AJ0-1652 
to TO0-149387 
next ORD-4959 
week NN1-3755 
's POS-55929 
conservative AJ0-1548 
party NN1-6303 
conference NN1-1541 
but CJC-43165 
chancellor NN1-559 
said VVD-17348 
a AT0-208029 
series NN0-1369 
of PRF-287131 
television NN1-1834 
radio NN1-1074 
interviews NN2-183 
he PNP-62040 
did VDD-10129 
not XX0-43136 
believe VVB-1076 
trying VVG-1671 
play VVI-1165 
silly AJ0-206 
games NN2-790 
political AJ0-3757 
would VM0-23370 
rule NN1-684 
out AVP-17768 
further AJC-1681 
increase NN1-921 
if CJS-19035 
it PNP-82284 
became VVD-2641 
necessary AJ0-1387 
mr NP0-13631 
had VHD-38072 
always AV0-4333 
played VVD-785 
straight AV0-593 
with PRP-64080 
people NN0-12371 
which DTQ-34208 
why AVQ-3359 
government NN1-7605 
respected AJ0-93 
even AV0-9538 
is VBZ-92031 
loved VVD-301 
all DT0-22405 
rank-and-file AJ0-12 
representatives NN2-341 
when CJS-16463 
they PNP-35436 
debate NN1-792 
economy NN1-1294 
blackpool NP0-166 
thursday NP0-466 
are VBB-41941 
bound VVN-372 
reflect VVI-199 
strong AJ0-1750 
reaction NN1-541 
high-level AJ0-31 
mortgage NN1-375 
holders NN2-163 
heartlands NN2-4 
south NN1-1707 
who PNQ-22009 
has VHZ-29167 
never AV0-5191 
found VVD-2439 
easy AJ0-1450 
win VVI-1034 
affection NN1-173 
now AV0-11874 
faces NN2-369 
trickiest AJS-3 
test NN1-1059 
his DPS-43790 
career NN1-933 
attempting VVG-198 
avert VVI-30 
unseemly AJ0-12 
attacks NN2-348 
competence NN1-102 
from PRP-43490 
grassroots NN2-29 
tory AJ0-850 
mps NN2-298 
were VBD-29389 
about PRP-13228 
rise NN1-1008 
expressed VVN-375 
fears NN2-466 
might VM0-5433 
be VBI-54756 
ministerial AJ0-116 
aides NN2-36 
better AJC-2076 
get VVI-4812 
way NN1-8983 
this DT0-37046 
rather AV0-4113 
than CJS-15788 
have VHB-23699 
happen VVI-574 
during PRP-4103 
leaders NN2-1148 
will VM0-23713 
making VVG-2525 
efforts NN2-617 
ensure VVI-812 
openly AV0-128 
attacked VVN-188 
at PRP-49689 
although CJS-4000 
terms NN2-1861 
motion NN1-318 
debated VVN-70 
supportive AJ0-87 
economic AJ0-2456 
policy NN1-2559 
significant AJ0-909 
number NN1-3303 
constituencies NN2-106 
criticised VVN-141 
over-reliance NN1-1 
as CJS-36872 
an AT0-32807 
instrument NN1-179 
regulation NN1-176 
ministers NN2-892 
also AV0-11684 
determined VVN-474 
use NN1-2391 
counter-attack NN1-26 
labour AJ0-3090 
successful AJ0-1111 
lift NN1-437 
conservatives NN2-689 
' POS-5561 
sagging AJ0-24 
spirits NN2-180 
neil NP0-373 
kinnock NP0-882 
shattering AJ0-20 
blow NN1-203 
both AV0-3558 
households NN2-139 
right NN1-2600 
across PRP-1879 
britain NP0-4907 
industries NN2-430 
worse AJC-708 
because CJS-8674 
been VBN-24005 
gathering NN1-138 
ever AV0-2705 
since CJS-2925 
first ORD-12157 
day NN1-6003 
decided VVD-1003 
its DPS-18917 
one CRD-18989 
only AV0-12614 
reliance NN1-74 
refused VVD-478 
what DTQ-15818 
john NP0-3480 
smith NP0-1015 
treasury NN1-464 
spokesman NN1-614 
described VVN-773 
unthinkable AJ0-55 
bbc NP0-756 
i PNP-49458 
ca VM0-1651 
n't XX0-16593 
give VVI-2743 
firm NN1-825 
promise NN1-299 
turning VVG-619 
point NN1-2823 
wo VM0-835 
go VVI-4499 
up AVP-18429 
any DT0-9170 
higher AJC-1495 
very AV0-8711 
much DT0-5125 
hope NN1-769 
for PRP-83053 
accepted VVN-528 
mortgage-holders NN2-4 
face NN1-2233 
difficulty NN1-510 
curb VVI-78 
borrowing NN1-164 
mortgages NN2-121 
accounted VVN-111 
85 CRD-77 
per UNC-5782 
cent UNC-5665 
household NN1-274 
price NN1-1949 
mismanagement NN1-19 
complacency NN1-64 
through PRP-7038 
credit NN1-720 
controls NN2-333 
michael NP0-1365 
latham NP0-14 
executive NN1-860 
member NN1-1295 
1922 CRD-318 
committee NN1-1781 
former DT0-1942 
director NN1-1375 
housebuilders NN2-20 
federation NN1-293 
condemned VVN-110 
unnecessary AJ0-200 
warned VVD-311 
could VM0-14676 
lead NN1-925 
recession NN1-578 
extraordinary AJ0-403 
decision NN1-1596 
send VVI-419 
some DT0-14797 
especially AV0-1774 
construction NN1-510 
spinning VVG-51 
into PRP-15731 
deep AJ0-893 
force NN1-1429 
unemployment NN1-563 
independent AJ0-1035 
sales NN0-1129 
celebrates VVZ-33 
third ORD-2229 
birthday NN1-244 
today AV0-2710 
achieved VVN-700 
record NN1-1706 
circulation NN1-126 
september NP0-943 
419,000 CRD-1 
copies NN2-230 
unaudited AJ0-2 
figure NN1-1103 
compares VVZ-63 
previous AJ0-1031 
peak NN1-335 
413,000 CRD-1 
march NP0-956 
comparable AJ0-157 
1988 CRD-957 
397,000 CRD-1 
recruits NN2-98 
sunday NP0-980 
paper NN1-1445 
two CRD-12460 
best-known AJ0-41 
journalists NN2-293 
join VVI-681 
begin VVI-419 
publishing NN1-246 
28 CRD-397 
january NP0-899 
year NN1-8689 
neal NP0-24 
ascherson NP0-1 
award-winning AJ0-12 
writer NN1-474 
columnist NN1-36 
new AJ0-12031 
newspaper NN1-566 
leaves NN2-540 
observer NN1-174 
where AVQ-6597 
associate NN1-49 
editor NN1-684 
blake NP0-72 
morrison NP0-87 
literary AJ0-459 
held VVN-1397 
same DT0-5406 
